Name,isTF
TFAP2A,Yes
TFAP2B,Yes
TFAP2C,Yes
TFAP2D,Yes
TFAP2E,Yes
ARID1A,No
ARID1B,No
ARID3A,Yes
ARID3B,Yes
ARID3C,Yes
ARID4A,No
ARID4B,No
ARID5A,Yes
ARID5B,Yes
JARID2,No
KDM5A,No
KDM5B,Yes
KDM5C,No
KDM5D,No
ARID2,Yes
AHCTF1,Yes
AHDC1,Yes
AKNA,Yes
ASH1L,Yes
CBX2,Yes
DNTTIP1,Yes
DOT1L,Yes
GLYR1,Yes
HMGA1,Yes
HMGA2,Yes
PHF20,Yes
PHF21A,Yes
PRR12,Yes
SCML4,Yes
SETBP1,Yes
SRCAP,Yes
C11orf95,Yes
FAM200B,Yes
SGSM2,Yes
ZBED1,Yes
ZBED2,Yes
ZBED3,Yes
ZBED4,Yes
ZBED5,Yes
ZBED6,Yes
ZBED8,No
ZBED9,Yes
AHR,Yes
AHRR,Yes
ARNT,Yes
ARNT2,Yes
ARNTL,Yes
ARNTL2,Yes
ASCL1,Yes
ASCL2,Yes
ASCL3,Yes
ASCL4,Yes
ASCL5,Yes
ATOH1,Yes
ATOH7,Yes
ATOH8,Yes
BHLHA15,Yes
BHLHA9,Yes
BHLHE22,Yes
BHLHE23,Yes
BHLHE40,Yes
BHLHE41,Yes
CCDC169-SOHLH2,Yes
CLOCK,Yes
EPAS1,Yes
FERD3L,Yes
FIGLA,Yes
HAND1,Yes
HAND2,Yes
HELT,Yes
HES1,Yes
HES2,Yes
HES3,Yes
HES4,Yes
HES5,Yes
HES6,Yes
HES7,Yes
HEY1,Yes
HEY2,Yes
HEYL,Yes
HIF1A,Yes
HIF3A,Yes
ID1,No
ID2,No
ID3,No
ID4,No
LYL1,Yes
MAX,Yes
MESP1,Yes
MESP2,Yes
MITF,Yes
MLX,Yes
MLXIP,Yes
MLXIPL,Yes
MNT,Yes
MSC,Yes
MSGN1,Yes
MXD1,Yes
MXD3,Yes
MXD4,Yes
MXI1,Yes
MYC,Yes
MYCL,Yes
MYCN,Yes
MYF5,Yes
MYF6,Yes
MYOD1,Yes
MYOG,Yes
NCOA1,Yes
NCOA2,Yes
NCOA3,Yes
NEUROD1,Yes
NEUROD2,Yes
NEUROD4,Yes
NEUROD6,Yes
NEUROG1,Yes
NEUROG2,Yes
NEUROG3,Yes
NHLH1,Yes
NHLH2,Yes
NPAS1,Yes
NPAS2,Yes
NPAS3,Yes
NPAS4,Yes
OLIG1,Yes
OLIG2,Yes
OLIG3,Yes
PTF1A,Yes
SCX,Yes
SIM1,Yes
SIM2,Yes
SOHLH1,Yes
SOHLH2,Yes
SREBF1,Yes
SREBF2,Yes
TAL1,Yes
TAL2,Yes
TCF12,Yes
TCF15,Yes
TCF21,Yes
TCF23,Yes
TCF24,Yes
TCF3,Yes
TCF4,Yes
TCFL5,Yes
TFAP4,Yes
TFE3,Yes
TFEB,Yes
TFEC,Yes
TWIST1,Yes
TWIST2,Yes
USF1,Yes
USF2,Yes
USF3,Yes
POGK,Yes
AC023509.3,Yes
APC2,No
ATF1,Yes
ATF2,Yes
ATF3,Yes
ATF4,Yes
ATF5,Yes
ATF6,Yes
ATF6B,Yes
ATF7,Yes
BACH1,Yes
BACH2,Yes
BATF,Yes
BATF2,Yes
BATF3,Yes
BEND4,No
CCDC3,No
CCDC83,No
CEBPA,Yes
CEBPB,Yes
CEBPD,Yes
CEBPE,Yes
CEBPG,Yes
CREB1,Yes
CREB3,Yes
CREB3L1,Yes
CREB3L2,Yes
CREB3L3,Yes
CREB3L4,Yes
CREB5,Yes
CREBL2,Yes
CREBRF,No
CREBZF,Yes
CREM,Yes
DBP,Yes
DDIT3,Yes
FOS,Yes
FOSB,Yes
FOSL1,Yes
FOSL2,Yes
GULP1,No
HLF,Yes
HOOK2,No
IQGAP1,No
JDP2,Yes
JUN,Yes
JUNB,Yes
JUND,Yes
KIF15,No
KRT13,No
MAF,Yes
MAFA,Yes
MAFB,Yes
MAFF,Yes
MAFG,Yes
MAFK,Yes
MORC3,No
NDC80,No
NFE2,Yes
NFE2L1,Yes
NFE2L2,Yes
NFE2L3,Yes
NFIL3,Yes
NRBF2,No
NRL,Yes
PPP1R21,No
RAB11FIP4,No
RNF219,No
SCOC,No
TEF,Yes
TRAK2,No
XBP1,Yes
AC008770.3,Yes
AC092835.1,Yes
AC138696.1,Yes
AEBP2,Yes
AKAP8,Yes
AKAP8L,Yes
ANKZF1,Yes
ATMIN,Yes
BCL11A,Yes
BCL11B,Yes
BCL6,Yes
BCL6B,Yes
BNC1,Yes
BNC2,Yes
CASZ1,Yes
CCDC17,Yes
CHAMP1,Yes
CPXCR1,Yes
CTCF,Yes
CTCFL,Yes
DPF1,Yes
DPF3,Yes
DZIP1,Yes
E4F1,Yes
EEA1,Yes
EGR1,Yes
EGR2,Yes
EGR3,Yes
EGR4,Yes
FAM170A,Yes
FEZF1,Yes
FEZF2,Yes
FIZ1,Yes
GFI1,Yes
GFI1B,Yes
GLI1,Yes
GLI2,Yes
GLI3,Yes
GLI4,Yes
GLIS1,Yes
GLIS2,Yes
GLIS3,Yes
GTF3A,Yes
GZF1,Yes
HIC1,Yes
HIC2,Yes
HINFP,Yes
HIVEP1,Yes
HIVEP2,Yes
HIVEP3,Yes
HKR1,Yes
IKZF1,Yes
IKZF2,Yes
IKZF3,Yes
IKZF4,Yes
IKZF5,Yes
INSM1,Yes
INSM2,Yes
JAZF1,Yes
KAT7,Yes
KCMF1,Yes
KIN,Yes
KLF1,Yes
KLF10,Yes
KLF11,Yes
KLF12,Yes
KLF13,Yes
KLF14,Yes
KLF15,Yes
KLF16,Yes
KLF17,Yes
KLF2,Yes
KLF3,Yes
KLF4,Yes
KLF5,Yes
KLF6,Yes
KLF7,Yes
KLF8,Yes
KLF9,Yes
L3MBTL1,Yes
L3MBTL3,Yes
L3MBTL4,Yes
MAZ,Yes
MECOM,Yes
MTF1,Yes
MYNN,Yes
MYT1,Yes
MYT1L,Yes
MZF1,Yes
NUFIP1,No
OSR1,Yes
OSR2,Yes
OVOL1,Yes
OVOL2,Yes
OVOL3,Yes
PEG3,Yes
PLAG1,Yes
PLAGL1,Yes
PLAGL2,Yes
PRDM1,Yes
PRDM10,Yes
PRDM12,Yes
PRDM13,Yes
PRDM14,Yes
PRDM15,Yes
PRDM16,Yes
PRDM2,Yes
PRDM4,Yes
PRDM5,Yes
PRDM6,Yes
PRDM8,Yes
PRDM9,Yes
PRMT3,Yes
RBAK,Yes
RBSN,Yes
REPIN1,Yes
REST,Yes
RLF,Yes
RREB1,Yes
SALL1,Yes
SALL2,Yes
SALL3,Yes
SALL4,Yes
SCRT1,Yes
SCRT2,Yes
SLC2A4RG,Yes
SNAI1,Yes
SNAI2,Yes
SNAI3,Yes
SP1,Yes
SP2,Yes
SP3,Yes
SP4,Yes
SP5,Yes
SP6,Yes
SP7,Yes
SP8,Yes
SP9,Yes
ST18,Yes
TRAFD1,Yes
TSHZ1,Yes
TSHZ2,Yes
TSHZ3,Yes
VEZF1,Yes
WIZ,Yes
WT1,Yes
YY1,Yes
YY2,Yes
ZBTB1,Yes
ZBTB10,Yes
ZBTB11,Yes
ZBTB12,Yes
ZBTB14,Yes
ZBTB16,Yes
ZBTB17,Yes
ZBTB18,Yes
ZBTB2,Yes
ZBTB20,Yes
ZBTB21,Yes
ZBTB22,Yes
ZBTB25,Yes
ZBTB26,Yes
ZBTB3,Yes
ZBTB32,Yes
ZBTB33,Yes
ZBTB34,Yes
ZBTB37,Yes
ZBTB38,Yes
ZBTB39,Yes
ZBTB4,Yes
ZBTB40,Yes
ZBTB41,Yes
ZBTB42,Yes
ZBTB43,Yes
ZBTB44,Yes
ZBTB45,Yes
ZBTB46,Yes
ZBTB47,Yes
ZBTB48,Yes
ZBTB49,Yes
ZBTB5,Yes
ZBTB6,Yes
ZBTB7A,Yes
ZBTB7B,Yes
ZBTB7C,Yes
ZBTB8A,Yes
ZBTB8B,Yes
ZBTB9,Yes
ZFAT,Yes
ZFP1,Yes
ZFP14,Yes
ZFP2,Yes
ZFP28,Yes
ZFP3,Yes
ZFP30,Yes
ZFP37,Yes
ZFP41,Yes
ZFP42,Yes
ZFP57,Yes
ZFP62,Yes
ZFP64,Yes
ZFP69,Yes
ZFP69B,Yes
ZFP82,Yes
ZFP90,Yes
ZFP91,Yes
ZFP92,Yes
ZFPL1,No
ZFPM1,Yes
ZFPM2,Yes
ZFR,No
ZFR2,No
ZFX,Yes
ZFY,Yes
ZIC1,Yes
ZIC2,Yes
ZIC3,Yes
ZIC4,Yes
ZIC5,Yes
ZIK1,Yes
ZIM2,Yes
ZIM3,Yes
ZKSCAN1,Yes
ZKSCAN2,Yes
ZKSCAN3,Yes
ZKSCAN4,Yes
ZKSCAN5,Yes
ZKSCAN7,Yes
ZKSCAN8,Yes
ZMAT1,Yes
ZMAT3,No
ZMAT4,Yes
ZNF10,Yes
ZNF100,Yes
ZNF101,Yes
ZNF106,No
ZNF107,Yes
ZNF112,Yes
ZNF114,Yes
ZNF117,Yes
ZNF12,Yes
ZNF121,Yes
ZNF124,Yes
ZNF131,Yes
ZNF132,Yes
ZNF133,Yes
ZNF134,Yes
ZNF135,Yes
ZNF136,Yes
ZNF138,Yes
ZNF14,Yes
ZNF140,Yes
ZNF141,Yes
ZNF142,Yes
ZNF143,Yes
ZNF146,Yes
ZNF148,Yes
ZNF154,Yes
ZNF155,Yes
ZNF157,Yes
ZNF16,Yes
ZNF160,Yes
ZNF165,Yes
ZNF169,Yes
ZNF17,Yes
ZNF174,Yes
ZNF175,Yes
ZNF177,Yes
ZNF18,Yes
ZNF180,Yes
ZNF181,Yes
ZNF182,Yes
ZNF184,Yes
ZNF189,Yes
ZNF19,Yes
ZNF195,Yes
ZNF197,Yes
ZNF2,Yes
ZNF20,Yes
ZNF200,Yes
ZNF202,Yes
ZNF205,Yes
ZNF207,Yes
ZNF208,Yes
ZNF211,Yes
ZNF212,Yes
ZNF213,Yes
ZNF214,Yes
ZNF215,Yes
ZNF217,Yes
ZNF219,Yes
ZNF22,Yes
ZNF221,Yes
ZNF222,Yes
ZNF223,Yes
ZNF224,Yes
ZNF225,Yes
ZNF226,Yes
ZNF227,Yes
ZNF229,Yes
ZNF23,Yes
ZNF230,Yes
ZNF232,Yes
ZNF233,Yes
ZNF234,Yes
ZNF235,Yes
ZNF236,Yes
ZNF239,Yes
ZNF24,Yes
ZNF248,Yes
ZNF25,Yes
ZNF250,Yes
ZNF251,Yes
ZNF253,Yes
ZNF254,Yes
ZNF256,Yes
ZNF257,Yes
ZNF26,Yes
ZNF260,Yes
ZNF263,Yes
ZNF264,Yes
ZNF266,Yes
ZNF267,Yes
ZNF268,Yes
ZNF273,Yes
ZNF274,Yes
ZNF275,Yes
ZNF276,Yes
ZNF28,Yes
ZNF280A,Yes
ZNF280B,Yes
ZNF280C,Yes
ZNF280D,Yes
ZNF281,Yes
ZNF282,Yes
ZNF283,Yes
ZNF284,Yes
ZNF285,Yes
ZNF286A,Yes
ZNF286B,Yes
ZNF287,Yes
ZNF292,Yes
ZNF296,Yes
ZNF3,Yes
ZNF30,Yes
ZNF300,Yes
ZNF302,Yes
ZNF304,Yes
ZNF311,Yes
ZNF316,Yes
ZNF317,Yes
ZNF318,Yes
ZNF319,Yes
ZNF32,Yes
ZNF320,Yes
ZNF322,Yes
ZNF324,Yes
ZNF324B,Yes
ZNF326,Yes
ZNF329,Yes
ZNF331,Yes
ZNF333,Yes
ZNF334,Yes
ZNF335,Yes
ZNF337,Yes
ZNF33A,Yes
ZNF33B,Yes
ZNF34,Yes
ZNF341,Yes
ZNF343,Yes
ZNF345,Yes
ZNF346,Yes
ZNF347,Yes
ZNF35,Yes
ZNF350,Yes
ZNF354A,Yes
ZNF354B,Yes
ZNF354C,Yes
ZNF355P,No
ZNF358,Yes
ZNF362,Yes
ZNF365,Yes
ZNF366,Yes
ZNF367,Yes
ZNF37A,Yes
ZNF382,Yes
ZNF383,Yes
ZNF384,Yes
ZNF385A,Yes
ZNF385B,Yes
ZNF385C,Yes
ZNF385D,Yes
ZNF391,Yes
ZNF394,Yes
ZNF395,Yes
ZNF396,Yes
ZNF397,Yes
ZNF398,Yes
ZNF404,Yes
ZNF407,Yes
ZNF408,Yes
ZNF41,Yes
ZNF410,Yes
ZNF414,Yes
ZNF415,Yes
ZNF416,Yes
ZNF417,Yes
ZNF418,Yes
ZNF419,Yes
ZNF420,Yes
ZNF423,Yes
ZNF425,Yes
ZNF426,Yes
ZNF428,Yes
ZNF429,Yes
ZNF43,Yes
ZNF430,Yes
ZNF431,Yes
ZNF432,Yes
ZNF433,Yes
ZNF436,Yes
ZNF438,Yes
ZNF439,Yes
ZNF44,Yes
ZNF440,Yes
ZNF441,Yes
ZNF442,Yes
ZNF443,Yes
ZNF444,Yes
ZNF445,Yes
ZNF446,Yes
ZNF449,Yes
ZNF45,Yes
ZNF451,Yes
ZNF454,Yes
ZNF460,Yes
ZNF461,Yes
ZNF462,Yes
ZNF467,Yes
ZNF468,Yes
ZNF469,Yes
ZNF470,Yes
ZNF471,Yes
ZNF473,Yes
ZNF474,Yes
ZNF479,Yes
ZNF48,Yes
ZNF480,Yes
ZNF483,Yes
ZNF484,Yes
ZNF485,Yes
ZNF486,Yes
ZNF487,Yes
ZNF488,Yes
ZNF490,Yes
ZNF491,Yes
ZNF492,Yes
ZNF493,Yes
ZNF496,Yes
ZNF497,Yes
ZNF500,Yes
ZNF501,Yes
ZNF502,Yes
ZNF503,Yes
ZNF506,Yes
ZNF507,Yes
ZNF510,Yes
ZNF511,Yes
ZNF512B,Yes
ZNF513,Yes
ZNF514,Yes
ZNF516,Yes
ZNF517,Yes
ZNF518A,Yes
ZNF518B,Yes
ZNF519,Yes
ZNF521,Yes
ZNF525,Yes
ZNF526,Yes
ZNF527,Yes
ZNF528,Yes
ZNF529,Yes
ZNF530,Yes
ZNF532,Yes
ZNF534,Yes
ZNF536,Yes
ZNF540,Yes
ZNF542P,No
ZNF543,Yes
ZNF544,Yes
ZNF546,Yes
ZNF547,Yes
ZNF548,Yes
ZNF549,Yes
ZNF550,Yes
ZNF551,Yes
ZNF552,Yes
ZNF554,Yes
ZNF555,Yes
ZNF556,Yes
ZNF557,Yes
ZNF558,Yes
ZNF559,Yes
ZNF560,Yes
ZNF561,Yes
ZNF562,Yes
ZNF563,Yes
ZNF564,Yes
ZNF565,Yes
ZNF566,Yes
ZNF567,Yes
ZNF568,Yes
ZNF569,Yes
ZNF57,Yes
ZNF570,Yes
ZNF571,Yes
ZNF572,Yes
ZNF573,Yes
ZNF574,Yes
ZNF575,Yes
ZNF576,Yes
ZNF577,Yes
ZNF578,Yes
ZNF579,Yes
ZNF580,Yes
ZNF581,Yes
ZNF582,Yes
ZNF583,Yes
ZNF584,Yes
ZNF585A,Yes
ZNF585B,Yes
ZNF586,Yes
ZNF587,Yes
ZNF587B,Yes
ZNF589,Yes
ZNF592,Yes
ZNF593,No
ZNF594,Yes
ZNF595,Yes
ZNF596,Yes
ZNF597,Yes
ZNF598,Yes
ZNF599,Yes
ZNF600,Yes
ZNF605,Yes
ZNF606,Yes
ZNF607,Yes
ZNF608,Yes
ZNF609,Yes
ZNF610,Yes
ZNF611,Yes
ZNF613,Yes
ZNF614,Yes
ZNF615,Yes
ZNF616,Yes
ZNF618,Yes
ZNF619,Yes
ZNF620,Yes
ZNF621,Yes
ZNF622,No
ZNF623,Yes
ZNF624,Yes
ZNF625,Yes
ZNF626,Yes
ZNF627,Yes
ZNF628,Yes
ZNF629,Yes
ZNF630,Yes
ZNF639,Yes
ZNF641,Yes
ZNF644,Yes
ZNF645,Yes
ZNF646,Yes
ZNF648,Yes
ZNF649,Yes
ZNF652,Yes
ZNF654,Yes
ZNF655,Yes
ZNF658,Yes
ZNF66,Yes
ZNF660,Yes
ZNF662,Yes
ZNF664,Yes
ZNF665,Yes
ZNF667,Yes
ZNF668,Yes
ZNF669,Yes
ZNF670,Yes
ZNF671,Yes
ZNF672,Yes
ZNF674,Yes
ZNF675,Yes
ZNF676,Yes
ZNF677,Yes
ZNF678,Yes
ZNF679,Yes
ZNF680,Yes
ZNF681,Yes
ZNF682,Yes
ZNF683,Yes
ZNF684,Yes
ZNF687,Yes
ZNF688,Yes
ZNF689,Yes
ZNF69,Yes
ZNF691,Yes
ZNF692,Yes
ZNF695,Yes
ZNF696,Yes
ZNF697,Yes
ZNF699,Yes
ZNF7,Yes
ZNF70,Yes
ZNF700,Yes
ZNF701,Yes
ZNF703,Yes
ZNF704,Yes
ZNF705A,Yes
ZNF705B,Yes
ZNF705D,Yes
ZNF705E,Yes
ZNF705G,Yes
ZNF706,Yes
ZNF707,Yes
ZNF708,Yes
ZNF709,Yes
ZNF71,Yes
ZNF710,Yes
ZNF711,Yes
ZNF713,Yes
ZNF714,Yes
ZNF716,Yes
ZNF717,Yes
ZNF718,Yes
ZNF721,Yes
ZNF724,Yes
ZNF726,Yes
ZNF727,Yes
ZNF728,Yes
ZNF729,Yes
ZNF73,No
ZNF730,Yes
ZNF732,Yes
ZNF735,Yes
ZNF736,Yes
ZNF737,Yes
ZNF74,Yes
ZNF740,Yes
ZNF746,Yes
ZNF747,Yes
ZNF749,Yes
ZNF750,Yes
ZNF75A,Yes
ZNF75D,Yes
ZNF76,Yes
ZNF761,Yes
ZNF763,Yes
ZNF764,Yes
ZNF765,Yes
ZNF766,Yes
ZNF768,Yes
ZNF77,Yes
ZNF770,Yes
ZNF771,Yes
ZNF772,Yes
ZNF773,Yes
ZNF774,Yes
ZNF775,Yes
ZNF776,Yes
ZNF777,Yes
ZNF778,Yes
ZNF780A,Yes
ZNF780B,Yes
ZNF781,Yes
ZNF782,Yes
ZNF783,Yes
ZNF784,Yes
ZNF785,Yes
ZNF786,Yes
ZNF787,Yes
ZNF788,Yes
ZNF789,Yes
ZNF79,Yes
ZNF790,Yes
ZNF791,Yes
ZNF792,Yes
ZNF793,Yes
ZNF799,Yes
ZNF8,Yes
ZNF80,Yes
ZNF800,Yes
ZNF804A,Yes
ZNF804B,Yes
ZNF805,Yes
ZNF808,Yes
ZNF81,Yes
ZNF812P,No
ZNF813,Yes
ZNF814,Yes
ZNF816,Yes
ZNF821,Yes
ZNF823,Yes
ZNF827,Yes
ZNF829,Yes
ZNF83,Yes
ZNF830,Yes
ZNF831,Yes
ZNF835,Yes
ZNF836,Yes
ZNF837,Yes
ZNF839,No
ZNF84,Yes
ZNF841,Yes
ZNF843,Yes
ZNF844,Yes
ZNF845,Yes
ZNF846,Yes
ZNF85,Yes
ZNF850,Yes
ZNF852,Yes
ZNF853,Yes
ZNF860,Yes
ZNF865,Yes
ZNF878,Yes
ZNF879,Yes
ZNF880,Yes
ZNF883,Yes
ZNF888,Yes
ZNF891,Yes
ZNF90,Yes
ZNF91,Yes
ZNF92,Yes
ZNF93,Yes
ZNF98,Yes
ZNF99,Yes
ZSCAN1,Yes
ZSCAN10,Yes
ZSCAN12,Yes
ZSCAN16,Yes
ZSCAN18,Yes
ZSCAN2,Yes
ZSCAN20,Yes
ZSCAN21,Yes
ZSCAN22,Yes
ZSCAN23,Yes
ZSCAN25,Yes
ZSCAN26,Yes
ZSCAN29,Yes
ZSCAN30,Yes
ZSCAN31,Yes
ZSCAN32,Yes
ZSCAN4,Yes
ZSCAN5A,Yes
ZSCAN5B,Yes
ZSCAN5C,Yes
ZSCAN5DP,No
ZSCAN9,Yes
ZUFSP,Yes
ZXDA,Yes
ZXDB,Yes
ZXDC,Yes
PATZ1,Yes
ZBTB24,Yes
ZNF524,Yes
ZNF653,Yes
ZNF277,Yes
ZNF512,Yes
ZEB1,Yes
ZEB2,Yes
ZFHX3,Yes
ZFHX4,Yes
TRERF1,Yes
ZNF541,Yes
NFYA,Yes
CPSF4,No
CPSF4L,No
DHX57,No
DUS3L,No
HELZ,No
MBNL1,No
MBNL2,Yes
MBNL3,No
MKRN1,No
MKRN2,No
NUPL2,No
PARP12,No
PPP1R10,No
PRR3,No
RC3H1,No
RC3H2,No
RNF113A,No
RNF113B,No
TOE1,No
TRMT1,No
UNK,No
UNKL,No
ZC3H10,No
ZC3H11A,No
ZC3H12A,No
ZC3H13,No
ZC3H14,No
ZC3H15,No
ZC3H18,No
ZC3H3,No
ZC3H4,No
ZC3H6,No
ZC3H7A,No
ZC3H7B,No
ZC3H8,Yes
ZC3HAV1,No
ZFP36,No
ZFP36L1,No
ZFP36L2,No
ZGPAT,Yes
ZMAT5,No
ZRSR1,No
ZRSR2,No
CENPB,Yes
CENPBD1,Yes
JRK,Yes
JRKL,Yes
TIGD1,Yes
TIGD2,Yes
TIGD3,Yes
TIGD4,Yes
TIGD5,Yes
TIGD6,Yes
TIGD7,Yes
CAMTA1,Yes
CAMTA2,Yes
CARHSP1,No
CSDC2,No
CSDE1,No
LIN28A,Yes
LIN28B,Yes
YBX1,Yes
YBX2,Yes
YBX3,Yes
RBPJ,Yes
RBPJL,Yes
CUX1,Yes
CUX2,Yes
ONECUT1,Yes
ONECUT2,Yes
ONECUT3,Yes
SATB1,Yes
SATB2,Yes
CXXC1,Yes
CXXC4,Yes
CXXC5,Yes
DNMT1,Yes
FBXL19,Yes
KDM2A,Yes
KDM2B,Yes
TET1,Yes
TET3,Yes
KMT2A,Yes
KMT2B,Yes
DMRT1,Yes
DMRT2,Yes
DMRT3,Yes
DMRTA1,Yes
DMRTA2,Yes
DMRTB1,Yes
DMRTC2,Yes
E2F1,Yes
E2F2,Yes
E2F3,Yes
E2F4,Yes
E2F5,Yes
E2F6,Yes
E2F7,Yes
E2F8,Yes
TFDP1,Yes
TFDP2,Yes
TFDP3,Yes
EBF1,Yes
EBF2,Yes
EBF3,Yes
EBF4,Yes
EHF,Yes
ELF1,Yes
ELF2,Yes
ELF4,Yes
ELF5,Yes
ELK1,Yes
ELK3,Yes
ELK4,Yes
ERF,Yes
ERG,Yes
ETS1,Yes
ETS2,Yes
ETV1,Yes
ETV2,Yes
ETV3,Yes
ETV3L,Yes
ETV4,Yes
ETV5,Yes
ETV6,Yes
ETV7,Yes
FEV,Yes
FLI1,Yes
GABPA,Yes
SPDEF,Yes
SPI1,Yes
SPIB,Yes
SPIC,Yes
ELF3,Yes
FLYWCH1,Yes
FOXA1,Yes
FOXA2,Yes
FOXA3,Yes
FOXB1,Yes
FOXB2,Yes
FOXC1,Yes
FOXC2,Yes
FOXD1,Yes
FOXD2,Yes
FOXD3,Yes
FOXD4,Yes
FOXD4L1,Yes
FOXD4L2,No
FOXD4L3,Yes
FOXD4L4,Yes
FOXD4L5,Yes
FOXD4L6,Yes
FOXE1,Yes
FOXE3,Yes
FOXF1,Yes
FOXF2,Yes
FOXG1,Yes
FOXH1,Yes
FOXI1,Yes
FOXI2,Yes
FOXI3,Yes
FOXJ1,Yes
FOXJ2,Yes
FOXJ3,Yes
FOXK1,Yes
FOXK2,Yes
FOXL1,Yes
FOXL2,Yes
FOXM1,Yes
FOXN1,Yes
FOXN2,Yes
FOXN3,Yes
FOXN4,Yes
FOXO1,Yes
FOXO3,Yes
FOXO4,Yes
FOXO6,Yes
FOXP1,Yes
FOXP2,Yes
FOXP3,Yes
FOXP4,Yes
FOXQ1,Yes
FOXR1,Yes
FOXR2,Yes
FOXS1,Yes
ZFYVE26,No
GATA1,Yes
GATA2,Yes
GATA3,Yes
GATA4,Yes
GATA5,Yes
GATA6,Yes
GATAD1,No
GATAD2A,Yes
GATAD2B,Yes
TRPS1,Yes
ZGLP1,Yes
GCM1,Yes
GCM2,Yes
GRHL1,Yes
GRHL2,Yes
GRHL3,Yes
TFCP2,Yes
TFCP2L1,Yes
UBP1,Yes
GTF2I,Yes
GTF2IRD1,Yes
GTF2IRD2,Yes
GTF2IRD2B,Yes
AC105001.2,No
BBX,Yes
CCDC124,No
CHD3,No
CHD4,No
CIC,Yes
HBP1,Yes
HMG20A,Yes
HMG20B,Yes
HMGB1,No
HMGB2,No
HMGB3,No
HMGB4,No
HMGN1,No
HMGN3,Yes
HMGXB3,No
HMGXB4,No
KMT2C,No
KMT2D,No
LEF1,Yes
MAEL,No
NSD2,No
PBRM1,No
PMS1,No
SMARCE1,No
SOX1,Yes
SOX10,Yes
SOX11,Yes
SOX12,Yes
SOX13,Yes
SOX14,Yes
SOX15,Yes
SOX17,Yes
SOX18,Yes
SOX2,Yes
SOX21,Yes
SOX3,Yes
SOX30,Yes
SOX4,Yes
SOX5,Yes
SOX6,Yes
SOX7,Yes
SOX8,Yes
SOX9,Yes
SRY,Yes
SSRP1,No
TCF7,Yes
TCF7L1,Yes
TCF7L2,Yes
TFAM,No
TOX,No
TOX2,No
TOX3,No
TOX4,No
UBTF,No
UBTFL1,No
WDHD1,No
BHMG1,No
ADNP,Yes
ADNP2,Yes
ALX1,Yes
ALX3,Yes
ALX4,Yes
ANHX,Yes
ARGFX,Yes
ARX,Yes
BARHL1,Yes
BARHL2,Yes
BARX1,Yes
BARX2,Yes
BSX,Yes
CDX1,Yes
CDX2,Yes
CDX4,Yes
CERS2,No
CERS3,No
CERS4,No
CERS5,No
CERS6,No
CRX,Yes
DBX1,Yes
DBX2,Yes
DLX1,Yes
DLX2,Yes
DLX3,Yes
DLX4,Yes
DLX5,Yes
DLX6,Yes
DMBX1,Yes
DPRX,Yes
DRGX,Yes
DUX1,Yes
DUX3,Yes
DUX4,Yes
DUXA,Yes
EMX1,Yes
EMX2,Yes
EN1,Yes
EN2,Yes
ESX1,Yes
EVX1,Yes
